DBMS_urnform,DBMS_common_name,github_repo_link,local_numeric_repo_id,first_local_occurrence_commit,first_local_occurrence_path,other_historical_artifact_occurrences,same_link_id_pair_elsewhere,in_301,in_294,source_evidence_present,expanded_target_present,activity_repo_name,activity_repo_name_used,activity_repo_created_at,secondary_artifact_mismatch,category_effect,provenance_status
dynomitedb,DynomiteDB,Netflix/dynomite,13484625,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,YES,NO,NO,NO,Netflix/dynomite,Netflix/dynomite,2013-10-10T22:36:31Z,NO,CANDIDATE_ONLY_NO_FROZEN_EVIDENCE; NO_CURRENT_P0_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
filodb,FiloDB,filodb/FiloDB,29259281,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,YES,NO,NO,NO,filodb/FiloDB,filodb/FiloDB,2015-01-14T18:35:32Z,NO,CANDIDATE_ONLY_NO_FROZEN_EVIDENCE; NO_CURRENT_P0_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
hadoop,Hadoop,apache/hadoop,23418517,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,YES,NO,NO,YES,apache/hadoop,apache/hadoop,2014-08-28T07:00:08Z,NO,EXPANDED_TARGET_CATEGORY_METADATA_UNAVAILABLE; NO_CURRENT_P0_STATISTICAL_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
jindb,JinDB,shoyo/jindb,215184961,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
kerf,Kerf,kevinlawler/kerf,455386848,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,NO,NO,NO,NO,kevinlawler/kerf,kevinlawler/kerf,2022-02-04T01:28:00Z,NO,NO_FROZEN_294_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
kirbybase,KirbyBase,weppos/kirbybase,386446,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
littled,LittleD,graemedouglas/LittleD,14753974,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,NO,NO,NO,NO,graemedouglas/LittleD,graemedouglas/LittleD,2013-11-27T17:28:00Z,NO,NO_FROZEN_294_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
llamadb,LlamaDB,nukep/llamadb,31960975,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
luciddb,LucidDB,LucidDB/luciddb,3017505,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
mldb,MLDB,mldbai/mldb,47634692,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,NO,NO,NO,NO,mldbai/mldb,mldbai/mldb,2015-12-08T16:34:16Z,NO,NO_FROZEN_294_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
mutable,mutable,mutable-org/mutable,576351141,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
serenity,Serenity,pmwkaa/serenity,39335675,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
shore-mt,Shore-MT,glycerine/shore-mt,6433550,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
skeletondb,SkeletonDB,d4l3k/skeletondb,63439550,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
srch2,SRCH²,SRCH2/srch2-ngn,49683870,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
thrudb,ThruDB,rcrowley/thrudb,55892,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
tieredmemdb,TieredMemDB,TieredMemDB/TieredMemDB,415886839,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,YES,NO,NO,NO,TieredMemDB/TieredMemDB,TieredMemDB/TieredMemDB,2021-10-11T10:59:36Z,NO,CANDIDATE_ONLY_NO_FROZEN_EVIDENCE; NO_CURRENT_P0_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
tile38,Tile38,tidwall/tile38,53171300,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,YES,NO,NO,NO,tidwall/tile38,tidwall/tile38,2016-03-04T23:07:44Z,NO,CANDIDATE_ONLY_NO_FROZEN_EVIDENCE; NO_CURRENT_P0_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
titan-nosql,Titan,meitu/titan,157514605,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID; repo_name_used=distributedio/titan; repo_name and repo_created_at blank); no 202411/202412 upstream match,NO,NO,NO,NO,YES,,distributedio/titan,,YES,EXPANDED_TARGET_CATEGORY_METADATA_UNAVAILABLE; NO_CURRENT_P0_STATISTICAL_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
tokumx,TokuMX,Tokutek/mongo,8729689,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
viyadb,ViyaDB,viyadb/viyadb,104114230,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
webscalesql,WebScaleSQL,webscalesql/webscalesql-5.6,13887383,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
