atomic_forensic_id,semantic_claim_id,subclaim_id,manuscript_version,section,location,exact_text,composite_class,numeric_relation_subject,numerator_or_components,denominator_or_total,implied_relation,exact_recomputed_value,display_transform,displayed_value,arithmetic_closure,population_or_universe,population_closure,authority_files,authority_keys_or_rows,authority_coherence,old_vs_qa_status,unit_semantics,reconciliation_relevance,manual_review_required,notes
A011,EVENT_DISTRIBUTION,compact_sum,OLD,RQ1,lines 388-395,"IssueComment + Push + PullRequest + Issue + Other = 3,748,078.",DISPLAY_AGGREGATION,event compact-table aggregation,1816751;1166027;335538;168892;260870,3748078,1816751+1166027+335538+168892+260870=3748078,3748078,INTEGER_FORMAT;ROUND_2_PERCENT,100.00%,PASS,historical event distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_event_type_distribution.csv,event_type rows;Other,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,Reference record distribution,RESTORE_OLD_COMPACT_SCHEMA_CORRECTED_VALUES,YES,Compact schema is technically reconstructible.
A012,EVENT_DISTRIBUTION,full_sum,QA,RQ1,lines 389-398,"All eight current event rows sum to 3,747,958 admitted records.",TOTAL_WITH_PARTITION,event full-distribution sum,1816696;1165990;335530;168876;96690;72597;52761;38818,3747958,sum(current event rows)=3747958,3747958,INTEGER_FORMAT;ROUND_2_PERCENT,100.01% displayed-share sum,PASS,current admitted event distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_event_type_distribution.csv,all eight event_type rows,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,Reference record distribution,KEEP_CURRENT_SCIENCE_TABLE_SCHEMA_PENDING_PRESENTATION_AUDIT,NO,Displayed shares sum to 100.01 only from independent rounding.
A013,EVENT_DISTRIBUTION,IssueComment,OLD,RQ1,lines 388-395,"IssueComment | 1,816,751 | 48.47%",RATIO_WITH_COUNTS,event share,1816751,3748078,1816751/3748078,0.484715366115646473,ROUND_2_PERCENT,48.47%,PASS,historical event distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_event_type_distribution.csv,event_type=IssueCommentEvent,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Support changes in both numerator and denominator.
A014,EVENT_DISTRIBUTION,IssueComment,QA,RQ1,lines 389-398,"IssueComment | 1,816,696 | 48.47%",RATIO_WITH_COUNTS,event share,1816696,3747958,1816696/3747958,0.484716210800654650,ROUND_2_PERCENT,48.47%,PASS,current admitted event distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_event_type_distribution.csv,event_type=IssueCommentEvent,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact current numerator and denominator.
A015,EVENT_DISTRIBUTION,Push,OLD,RQ1,lines 388-395,"Push | 1,166,027 | 31.11%",RATIO_WITH_COUNTS,event share,1166027,3748078,1166027/3748078,0.311099982444335470,ROUND_2_PERCENT,31.11%,PASS,historical event distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_event_type_distribution.csv,event_type=PushEvent,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Support changes in both numerator and denominator.
A016,EVENT_DISTRIBUTION,Push,QA,RQ1,lines 389-398,"Push | 1,165,990 | 31.11%",RATIO_WITH_COUNTS,event share,1165990,3747958,1165990/3747958,0.311100071025342333,ROUND_2_PERCENT,31.11%,PASS,current admitted event distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_event_type_distribution.csv,event_type=PushEvent,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact current numerator and denominator.
A017,EVENT_DISTRIBUTION,PullRequest_source,OLD,RQ1,lines 388-395,"PullRequest | 335,538 | 8.95%",RATIO_WITH_COUNTS,event share,335538,3748078,335538/3748078,0.0895226833593110922,ROUND_2_PERCENT,8.95%,PASS,historical event distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_event_type_distribution.csv,event_type=PullRequestEvent,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Exact source-event semantics.
A018,EVENT_DISTRIBUTION,PullRequest_source,QA,RQ1,lines 389-398,"PullRequest | 335,530 | 8.95%",RATIO_WITH_COUNTS,event share,335530,3747958,335530/3747958,0.0895234151503298596,ROUND_2_PERCENT,8.95%,PASS,current admitted event distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_event_type_distribution.csv,event_type=PullRequestEvent,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact source-event semantics.
A019,EVENT_DISTRIBUTION,Issue_source,OLD,RQ1,lines 388-395,"Issue | 168,892 | 4.51%",RATIO_WITH_COUNTS,event share,168892,3748078,168892/3748078,0.0450609619116784656,ROUND_2_PERCENT,4.51%,PASS,historical event distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_event_type_distribution.csv,event_type=IssuesEvent,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Exact source-event semantics.
A020,EVENT_DISTRIBUTION,Issue_source,QA,RQ1,lines 389-398,"Issue | 168,876 | 4.51%",RATIO_WITH_COUNTS,event share,168876,3747958,168876/3747958,0.0450581356568029845,ROUND_2_PERCENT,4.51%,PASS,current admitted event distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_event_type_distribution.csv,event_type=IssuesEvent,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact source-event semantics.
A021,TARGET_DISTRIBUTION,compact_sum,OLD,RQ1,lines 413-419,"External Links + PullRequest + Actor + Issue + Commit + Other = 3,748,078.",DISPLAY_AGGREGATION,target compact-table aggregation,1629357;672019;475663;281662;255013;434364,3748078,1629357+672019+475663+281662+255013+434364=3748078,3748078,INTEGER_FORMAT;ROUND_2_PERCENT,100.00%,PASS,historical target distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_referenced_entity_distribution.csv,entity_type rows;Other,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,Reference record distribution,RESTORE_OLD_COMPACT_SCHEMA_CORRECTED_VALUES,YES,Compact schema is technically reconstructible.
A022,TARGET_DISTRIBUTION,full_sum,QA,RQ1,lines 408-428,"All 19 current target rows sum to 3,747,958 admitted records.",TOTAL_WITH_PARTITION,target full-distribution sum,19 current target rows,3747958,sum(current target rows)=3747958,3747958,INTEGER_FORMAT;ROUND_2_PERCENT,99.99% displayed-share sum,PASS,current admitted target distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,all 19 entity_type rows,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,Reference record distribution,KEEP_CURRENT_SCIENCE_TABLE_SCHEMA_PENDING_PRESENTATION_AUDIT,NO,Displayed shares sum to 99.99 only from independent rounding.
A023,TARGET_DISTRIBUTION,External_Links,OLD,RQ1,lines 413-419,"GitHub_Service_External_Links | 1,629,357 | 43.47%",RATIO_WITH_COUNTS,target share,1629357,3748078,1629357/3748078,0.434718007469428331,ROUND_2_PERCENT,43.47%,PASS,historical target distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_referenced_entity_distribution.csv,entity_type=GitHub_Service_External_Links,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Support changes in both numerator and denominator.
A024,TARGET_DISTRIBUTION,External_Links,QA,RQ1,lines 408-428,"GitHub_Service_External_Links | 1,629,327 | 43.47%",RATIO_WITH_COUNTS,target share,1629327,3747958,1629327/3747958,0.434723921666144605,ROUND_2_PERCENT,43.47%,PASS,current admitted target distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,entity_type=GitHub_Service_External_Links,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact current numerator and denominator.
A025,TARGET_DISTRIBUTION,PullRequest_target,OLD,RQ1,lines 413-419,"PullRequest | 672,019 | 17.93%",RATIO_WITH_COUNTS,target share,672019,3748078,672019/3748078,0.179296962336429498,ROUND_2_PERCENT,17.93%,PASS,historical target distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_referenced_entity_distribution.csv,entity_type=PullRequest,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Target PullRequest is distinct from source PullRequest event.
A026,TARGET_DISTRIBUTION,PullRequest_target,QA,RQ1,lines 408-428,"PullRequest | 671,986 | 17.93%",RATIO_WITH_COUNTS,target share,671986,3747958,671986/3747958,0.179293898170683876,ROUND_2_PERCENT,17.93%,PASS,current admitted target distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,entity_type=PullRequest,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Target PullRequest is distinct from source PullRequest event.
A027,TARGET_DISTRIBUTION,Actor,OLD,RQ1,lines 413-419,"Actor | 475,663 | 12.69%",RATIO_WITH_COUNTS,target share,475663,3748078,475663/3748078,0.126908511509098797,ROUND_2_PERCENT,12.69%,PASS,historical target distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_referenced_entity_distribution.csv,entity_type=Actor,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Support changes in both numerator and denominator.
A028,TARGET_DISTRIBUTION,Actor,QA,RQ1,lines 408-428,"Actor | 475,651 | 12.69%",RATIO_WITH_COUNTS,target share,475651,3747958,475651/3747958,0.126909373050605156,ROUND_2_PERCENT,12.69%,PASS,current admitted target distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,entity_type=Actor,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact current numerator and denominator.
A029,TARGET_DISTRIBUTION,Issue_target,OLD,RQ1,lines 413-419,"Issue | 281,662 | 7.51%",RATIO_WITH_COUNTS,target share,281662,3748078,281662/3748078,0.075148382717755607,ROUND_2_PERCENT,7.51%,PASS,historical target distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_referenced_entity_distribution.csv,entity_type=Issue,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Support changes in both numerator and denominator.
A030,TARGET_DISTRIBUTION,Issue_target,QA,RQ1,lines 408-428,"Issue | 281,648 | 7.51%",RATIO_WITH_COUNTS,target share,281648,3747958,281648/3747958,0.0751470534088162141,ROUND_2_PERCENT,7.51%,PASS,current admitted target distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,entity_type=Issue,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact current numerator and denominator.
A031,TARGET_DISTRIBUTION,Commit,OLD,RQ1,lines 413-419,"Commit | 255,013 | 6.80%",RATIO_WITH_COUNTS,target share,255013,3748078,255013/3748078,0.0680383385831351429,ROUND_2_PERCENT,6.80%,PASS,historical target distribution,FAIL,outputs/reference_quotient_p0_frozen/rq1_referenced_entity_distribution.csv,entity_type=Commit,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,OLD_REPLACE_WITH_CURRENT_ROW,YES,Support changes in both numerator and denominator.
A032,TARGET_DISTRIBUTION,Commit,QA,RQ1,lines 408-428,"Commit | 255,009 | 6.80%",RATIO_WITH_COUNTS,target share,255009,3747958,255009/3747958,0.0680394497483696456,ROUND_2_PERCENT,6.80%,PASS,current admitted target distribution,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,entity_type=Commit,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record share,KEEP_QA_CURRENT_VALUES,NO,Exact current numerator and denominator.
A033,TARGET_ROLE_PARTITION,observable_seed_expanded,OLD,RQ2b,lines 565-582,"111 seed targets + 6,221 expanded targets = 6,332 observable targets.",TOTAL_WITH_PARTITION,target observable-role partition,111;6221,6332,111+6221=6332,6332,INTEGER_FORMAT,6332,PASS,historical cross-project target population,FAIL,outputs/reference_quotient_p0_frozen/rq2b_target_role_metrics.csv,observable_target_count;seed_project_target_count;expanded_target_count,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,TARGET_PROJECT_COUNT,OLD_REPLACE_WITH_CURRENT_TARGET_PARTITION,YES,This count is not the denominator of weight shares.
A034,TARGET_ROLE_PARTITION,observable_seed_expanded,QA,RQ2b,lines 514-529,"110 seed targets + 6,212 expanded targets = 6,322 observable targets.",TOTAL_WITH_PARTITION,target observable-role partition,110;6212,6322,110+6212=6322,6322,INTEGER_FORMAT,6322,PASS,current cross-project target population,PASS,outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv,observable_target_count;seed_project_target_count;expanded_target_count,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,TARGET_PROJECT_COUNT,KEEP_QA_CURRENT_VALUES,NO,Observable target count is distinct from weight-share denominator.
A035,TARGET_CONCENTRATION,top1,OLD,RQ2b,lines 567;578-580,Top-1 weight share = 2.47%.,RATIO_WITH_COUNTS,top-1 target weight share,3430,139044,3430/139044,0.0246684502747331779868243146,ROUND_2_PERCENT,2.47%,PASS,historical cross-project target-weight universe,FAIL,outputs/reference_quotient_p0_frozen/rq2b_target_concentration.json,total_cross_project_weight;top_1_weight_share;top50 row 1 in_strength,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,AGGREGATED_EDGE_WEIGHT,OLD_REPLACE_WITH_CURRENT_CONCENTRATION,YES,"Actual denominator is cross-project weight, not observable-target count."
A036,TARGET_CONCENTRATION,top1,QA,RQ2b,lines 514;525-527,Top-1 weight share = 2.47%.,RATIO_WITH_COUNTS,top-1 target weight share,3430,138974,3430/138974,0.0246808755594571646495027847,ROUND_2_PERCENT,2.47%,PASS,current cross-project target-weight universe,PASS,outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,total_cross_project_weight;top_1_weight_share;top50 row 1 in_strength,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,AGGREGATED_EDGE_WEIGHT,KEEP_QA_CURRENT_VALUES,NO,Top-1 numerator is unchanged but denominator changes from 139044 to 138974.
A037,TARGET_CONCENTRATION,top10,OLD,RQ2b,lines 567;578-580,Top-10 weight share = 15.99%.,RATIO_WITH_COUNTS,top-10 target weight share,22234,139044,22234/139044,0.15990621673714794,ROUND_2_PERCENT,15.99%,PASS,historical cross-project target-weight universe,FAIL,outputs/reference_quotient_p0_frozen/rq2b_target_concentration.json,total_cross_project_weight;top_10_weight_share,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,AGGREGATED_EDGE_WEIGHT,OLD_REPLACE_WITH_CURRENT_CONCENTRATION,YES,Top-10 numerator is reconstructed from cumulative top50 row 10.
A038,TARGET_CONCENTRATION,top10,QA,RQ2b,lines 514;525-527,Top-10 weight share = 16.00%.,RATIO_WITH_COUNTS,top-10 target weight share,22234,138974,22234/138974,0.15998676011340252,ROUND_2_PERCENT,16.00%,PASS,current cross-project target-weight universe,PASS,outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,total_cross_project_weight;top_10_weight_share,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,AGGREGATED_EDGE_WEIGHT,KEEP_QA_CURRENT_VALUES,NO,Displayed value changes after rounding.
A039,TARGET_CONCENTRATION,top50,OLD,RQ2b,lines 567;578-580,Top-50 weight share = 48.97%.,RATIO_WITH_COUNTS,top-50 target weight share,68087,139044,68087/139044,0.48967952590546876,ROUND_2_PERCENT,48.97%,PASS,historical cross-project target-weight universe,FAIL,outputs/reference_quotient_p0_frozen/rq2b_target_concentration.json,total_cross_project_weight;top_50_weight_share,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,AGGREGATED_EDGE_WEIGHT,OLD_REPLACE_WITH_CURRENT_CONCENTRATION,YES,Top-50 numerator is reconstructed from cumulative top50 row 50.
A040,TARGET_CONCENTRATION,top50,QA,RQ2b,lines 514;525-527,Top-50 weight share = 48.99%.,RATIO_WITH_COUNTS,top-50 target weight share,68087,138974,68087/138974,0.4899261732410379,ROUND_2_PERCENT,48.99%,PASS,current cross-project target-weight universe,PASS,outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,total_cross_project_weight;top_50_weight_share,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,AGGREGATED_EDGE_WEIGHT,KEEP_QA_CURRENT_VALUES,NO,Displayed value changes after rounding.
A041,TARGET_COVERAGE,max_indegree,OLD,RQ2b,line 582,最大 in-degree 42 对应 14.29% 的 seed coverage。,RATIO_WITH_COUNTS,seed coverage,42,294,42/294,0.14285714285714285,ROUND_2_PERCENT,14.29%,PASS,historical target coverage with 294 seeds,FAIL,outputs/reference_quotient_p0_frozen/rq2b_target_role_metrics.csv,max_in_degree;analysis_seed_count,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,SEED_PROJECT_COVERAGE,OLD_REPLACE_WITH_CURRENT_COVERAGE,YES,Support counts are unchanged but target population contract differs.
A042,TARGET_COVERAGE,max_indegree,QA,RQ2b,line 529,最大 in-degree 42 对应 14.29% 的 seed coverage。,RATIO_WITH_COUNTS,seed coverage,42,294,42/294,0.14285714285714285,ROUND_2_PERCENT,14.29%,PASS,current target coverage with 294 seeds,PASS,outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv,max_in_degree;analysis_seed_count,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,SEED_PROJECT_COVERAGE,KEEP_QA_CURRENT_VALUES,NO,Current ratio closes exactly.
A043,SOURCE_ROLE_PARTITION,relation_count,OLD,RQ2a,line 549,"419 seed-to-seed + 9,186 seed-to-expanded = 9,605 cross-project relations.",TOTAL_WITH_PARTITION,source role relation partition,419;9186,9605,419+9186=9605,9605,INTEGER_FORMAT,9605,PASS,historical cross-project relation universe,FAIL,outputs/reference_quotient_p0_frozen/rq2a_source_role_metrics.csv,seed_to_seed_relation_count;seed_to_expanded_relation_count;cross_project_directed_edge_count,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,EDGE_COUNT,OLD_REPLACE_WITH_CURRENT_SOURCE_PARTITION,YES,Historical directed relation count.
A044,SOURCE_ROLE_PARTITION,relation_count,QA,RQ2a,line 499,"418 seed-to-seed + 9,177 seed-to-expanded = 9,595 cross-project relations.",TOTAL_WITH_PARTITION,source role relation partition,418;9177,9595,418+9177=9595,9595,INTEGER_FORMAT,9595,PASS,current cross-project relation universe,PASS,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv,seed_to_seed_relation_count;seed_to_expanded_relation_count;cross_project_directed_edge_count,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,EDGE_COUNT,KEEP_QA_CURRENT_VALUES,NO,Exact current directed relation partition.
A045,SOURCE_ROLE_PARTITION,weight,OLD,RQ2a,line 549,"7,631 seed-to-seed weight + 131,413 seed-to-expanded weight = 139,044.",TOTAL_WITH_PARTITION,source role weight partition,7631;131413,139044,7631+131413=139044,139044,INTEGER_FORMAT,139044,PASS,historical cross-project weight universe,FAIL,outputs/reference_quotient_p0_frozen/rq2a_source_role_metrics.csv,seed_to_seed_weight;seed_to_expanded_weight;refq_cross_project_weight,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,AGGREGATED_EDGE_WEIGHT,OLD_REPLACE_WITH_CURRENT_SOURCE_PARTITION,YES,Historical weight partition.
