DBMS_urnform,DBMS_common_name,upstream_repo_id,local_repo_id,repo_id_change_class,repo_link,repo_created_at,upstream_License_info,local_License_info,upstream_open_source_license,local_open_source_license,first_later_upstream_matching_month,provenance_class,provenance_evidence,in_frozen_301_candidates,in_frozen_294_seeds,source_evidence_present,scientific_role,human_review_required
asami,Asami,131763823,131763823,UNCHANGED,quoll/asami,2018-05-01T21:14:38Z,Eclipse Public License,Eclipse Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
assassin,Assassin,292049131,292049131,UNCHANGED,genderev/assassin,2020-09-01T16:24:24Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
asterixdb,AsterixDB,31976266,31976266,UNCHANGED,apache/asterixdb,2015-03-10T19:06:29Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
atlas,Atlas,,22631422,BLANK_TO_VALID_NUMERIC_REPO_ID,Netflix/atlas,2014-08-05T05:23:04Z,,Apache License 2.0,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",YES,NO,NO,CANDIDATE_ONLY,YES
atoti,atoti,246343828,246343828,UNCHANGED,atoti/atoti,2020-03-10T15:52:20Z,free versions available,free versions available,N,N,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
averagedb,AverageDB,811062736,811062736,UNCHANGED,joswayski/averagedatabase,2024-06-05T21:38:36Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
aviondb,AvionDB,249981301,249981301,UNCHANGED,dappkit/aviondb,2020-03-25T13:08:13Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
awadb,AwaDB,642912355,642912355,UNCHANGED,awa-ai/awadb,2023-05-19T16:22:02Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
axion,Axion,,-,BLANK_TO_PLACEHOLDER,-,-,,-,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
babudb,BabuDB,20433978,20433978,UNCHANGED,xtreemfs/babudb,2014-06-03T07:47:09Z,,,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
badgerdb,BadgerDB,80087836,80087836,UNCHANGED,dgraph-io/badger,2017-01-26T05:09:49Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
bagri,Bagri,17684716,17684716,UNCHANGED,dsukhoroslov/bagri,2014-03-12T21:26:47Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
baikaldb,BaikalDB,143436277,143436277,UNCHANGED,baidu/BaikalDB,2018-08-03T14:19:12Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
bangdb,BangDB,34056205,34056205,UNCHANGED,sachin-sinha/BangDB,2015-04-16T13:05:12Z,BSD 3,BSD 3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
basex,BaseX,1374129,1374129,UNCHANGED,BaseXdb/basex,2011-02-16T15:02:14Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
bayesdb,BayesDB,,25949241,BLANK_TO_VALID_NUMERIC_REPO_ID,probcomp/bayeslite,2014-10-30T01:26:34Z,Apache v2,Apache v2,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
bbolt,bbolt,94593596,94593596,UNCHANGED,etcd-io/bbolt,2017-06-17T01:42:09Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
bboxdb,BBoxDB,45732002,45732002,UNCHANGED,jnidzwetzki/bboxdb,2015-11-07T10:28:59Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
beagle-sql,Beagle SQL,119234782,119234782,UNCHANGED,jonahharris/osdb-beaglesql,2018-01-28T06:40:09Z,,,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
bedrock,Bedrock,67904342,67904342,UNCHANGED,Expensify/Bedrock,2016-09-11T01:55:45Z,LGPL v3,LGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
bergdb,BergDB,88422672,88422672,UNCHANGED,bergdb/bergdb,2017-04-16T15:31:47Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
beringei,Beringei,70541093,70541093,UNCHANGED,facebookarchive/beringei,2016-10-11T00:45:02Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
berkeley-db,Oracle Berkeley DB,2380364,2380364,UNCHANGED,berkeleydb/libdb,2011-09-13T18:37:21Z,"AGPL v3,Apache v2; commercial license available","AGPL v3,Apache v2; commercial license available",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
beryldb,BerylDB,,-,BLANK_TO_PLACEHOLDER,beryldb/beryldb,,BSD,BSD,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
bigchaindb,BigchainDB,51290852,51290852,UNCHANGED,bigchaindb/bigchaindb,2016-02-08T10:12:58Z,Apache v2#dbdbio>|<dbengines#AGPL v3,Apache v2#dbdbio>|<dbengines#AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
binaryrage,BinaryRage,5494148,5494148,UNCHANGED,mchidk/BinaryRage,2012-08-21T11:31:01Z,,,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
bitcask,Bitcask,385283362,385283362,UNCHANGED,prologic/bitcask,2021-07-12T14:52:18Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
bitsy,Bitsy,85236158,85236158,UNCHANGED,lambdazen/bitsy,2017-03-16T19:54:58Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
blackray,BlackRay,,-,BLANK_TO_PLACEHOLDER,-,-,GPL v2,GPL v2,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
blazegraph,Blazegraph,48451041,48451041,UNCHANGED,blazegraph/database,2015-12-22T19:52:44Z,GPL v2#dbdbio>|<dbengines#extended commercial license available,GPL v2#dbdbio>|<dbengines#extended commercial license available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
blazingsql,BlazingSQL,150149024,150149024,UNCHANGED,blazingdb/pyBlazing,2018-09-24T18:25:45Z,"Apache v2,Proprietary","Apache v2,Proprietary",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
blinkdb,BlinkDB,2529750,2529750,UNCHANGED,sameeragarwal/blinkdb,2011-10-07T00:24:33Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
blueflood,Blueflood,10081109,10081109,UNCHANGED,rackerlabs/blueflood,2013-05-15T14:50:39Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
bojack,BoJack,62980788,62980788,UNCHANGED,marceloboeira/bojack,2016-07-10T04:04:44Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
boltdb,BoltDB,15345331,15345331,UNCHANGED,boltdb/bolt,2013-12-20T18:26:14Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
bonsaidb,BonsaiDb,349627612,349627612,UNCHANGED,khonsulabs/bonsaidb,2021-03-20T04:35:24Z,"Apache v2,MIT","Apache v2,MIT",Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
brightstardb,BrightstarDB,8335020,8335020,UNCHANGED,BrightstarDB/BrightstarDB,2013-02-21T12:52:27Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
btdb,BTDB,681142,681142,UNCHANGED,Bobris/BTDB,2010-05-22T22:23:23Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
btrdb,BTrDB,22427082,22427082,UNCHANGED,BTrDB/btrdb-server,2014-07-30T12:36:26Z,GPL v3,GPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
bugfruit,bugfruit,494545073,494545073,UNCHANGED,reesporte/bugfruit,2022-05-20T17:02:22Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
buntdb,BuntDB,63731386,63731386,UNCHANGED,tidwall/buntdb,2016-07-19T22:11:40Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
bustub,BusTub,207663235,207663235,UNCHANGED,cmu-db/bustub,2019-09-10T21:06:59Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
byconity,ByConity,581145740,581145740,UNCHANGED,ByConity/ByConity,2022-12-22T11:50:32Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
c-store,C-Store,196702393,196702393,UNCHANGED,eyalroz/c-store,2019-07-13T09:17:41Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
cachegrand,Cachegrand,125234630,125234630,UNCHANGED,danielealbano/cachegrand,2018-03-14T15:33:02Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
cachelotio,Cachelot.io,33275300,33275300,UNCHANGED,cachelot/cachelot,2015-04-01T21:59:52Z,Simplified BSD License,Simplified BSD License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
