DBMS_urnform,DBMS_common_name,endpoint_classification,january_repo_state,january_repo_id,january_repo_link,october_repo_state,october_repo_id,october_repo_link,january_open_source_license,october_open_source_license,eligibility_classification,reason,reason_evidence,monthly_repo_id_trajectory,monthly_state_trajectory,monthly_id_change_count,activity_january_repo_id,activity_october_repo_id,activity_ratio,activity_order_of_magnitude_review
filedb-dotnet,FileDb,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,172208960,eztools-software/FileDb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 172208960 -> 172208960 -> 172208960 -> 172208960 -> 172208960 -> 172208960 -> 172208960,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
fireproof,Fireproof,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,679889516,fireproof-storage/fireproof,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 679889516 -> 679889516 -> 679889516 -> 679889516 -> 679889516 -> 679889516 -> 679889516,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,109,,False
garnet,Garnet,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,681372871,microsoft/garnet,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> 681372871 -> 681372871 -> 681372871 -> 681372871 -> 681372871 -> 681372871 -> 681372871 -> 681372871,MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
glowdust,Glowdust,ROW_ADDED_BY_202410,MISSING,,,BLANK_REPO_ID,,-,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,1,,,,False
hadoop,Hadoop,ROW_ADDED_BY_202410,MISSING,,,BLANK_REPO_ID,,apache/hadoop,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,1,,,,False
haystackdb,HaystackDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,793209340,carsonpo/haystackdb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> 793209340 -> 793209340 -> 793209340 -> 793209340 -> 793209340 -> 793209340,MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
heavyai,HEAVY.AI,ROW_REMOVED_BY_202410,VALID_NUMERIC_REPO_ID,90541149,heavyai/heavydb,MISSING,,,Y,,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",90541149 -> 90541149 -> 90541149 -> 90541149 -> 90541149 -> 90541149 -> 90541149 -> MISSING -> MISSING -> MISSING,VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> MISSING -> MISSING -> MISSING,1,174,,,False
horaedb,HoraeDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,496505424,apache/incubator-horaedb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> 496505424 -> 496505424 -> 496505424 -> 496505424 -> 496505424 -> 496505424 -> 496505424 -> 496505424 -> 496505424,MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,184,,False
kappa,Kappa,ROW_ADDED_BY_202410,MISSING,,,BLANK_REPO_ID,,,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,MISSING -> MISSING -> MISSING -> MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,1,,,,False
kyuubi,Kyuubi,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,114619105,apache/kyuubi,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> 114619105 -> 114619105 -> 114619105 -> 114619105 -> 114619105 -> 114619105,MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,16360,,False
lightdb-washington,LightDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,90768966,uwdb/lightdb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 90768966 -> 90768966 -> 90768966 -> 90768966 -> 90768966 -> 90768966 -> 90768966,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
lintdb,LintDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,753244287,DeployQL/LintDB,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 753244287 -> 753244287 -> 753244287 -> 753244287 -> 753244287 -> 753244287 -> 753244287,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
lonadb,LonaDB,VALID_ID_TO_DIFFERENT_VALID_ID,VALID_NUMERIC_REPO_ID,646427433,LonaDB/Hadro,VALID_NUMERIC_REPO_ID,750864017,LonaDB/Server,Y,Y,OPEN_SOURCE_ELIGIBILITY_UNCHANGED,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",646427433 -> 646427433 -> 750864017 -> 750864017 -> 750864017 -> 750864017 -> 750864017 -> 750864017 -> 750864017 -> 750864017,VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
lotusdb,LotusDB,ROW_ADDED_BY_202410,MISSING,,,BLANK_REPO_ID,,,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,MISSING -> MISSING -> MISSING -> MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,1,,,,False
mimir,Mimir,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,385634291,grafana/mimir,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 385634291 -> 385634291 -> 385634291 -> 385634291,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,23492,,False
myscaledb,MyScaleDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,771847852,myscale/MyScaleDB,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 771847852 -> 771847852 -> 771847852 -> 771847852 -> 771847852,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
nundb,NunDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,160528020,mateusfreira/nun-db,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> 160528020 -> 160528020 -> 160528020 -> 160528020 -> 160528020 -> 160528020,MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,51,,False
opentenbase,OpenTenBase,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,684046299,OpenTenBase/OpenTenBase,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> 684046299 -> 684046299 -> 684046299 -> 684046299 -> 684046299 -> 684046299 -> 684046299 -> 684046299,MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,45,,False
opteryx,Opteryx,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,442441933,mabel-dev/opteryx,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 442441933 -> 442441933 -> 442441933 -> 442441933 -> 442441933 -> 442441933 -> 442441933,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,1979,,False
pail,Pail,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,580788054,web3-storage/pail,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> 580788054 -> 580788054 -> 580788054 -> 580788054 -> 580788054 -> 580788054,MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,49,,False
paradedb,ParadeDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,660776503,paradedb/paradedb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 660776503 -> 660776503 -> 660776503 -> 660776503 -> 660776503,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,11,,False
pysondb,PysonDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,416174776,pysonDB/pysonDB-v2,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 416174776 -> 416174776 -> 416174776 -> 416174776 -> 416174776,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,15,,False
quickwit,Quickwit,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,357707809,quickwit-oss/quickwit,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 357707809 -> 357707809 -> 357707809 -> 357707809 -> 357707809,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,8429,,False
redict,Redict,ROW_ADDED_BY_202410,MISSING,,,BLANK_REPO_ID,,-,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,MISSING -> MISSING -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID -> BLANK_REPO_ID,1,,,,False
rhizomedb,RhizomeDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,574694308,RhizomeDB/rs-rhizome,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 574694308 -> 574694308 -> 574694308 -> 574694308 -> 574694308 -> 574694308 -> 574694308,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,198,,False
sabledb,SableDb,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,779811016,sabledb-io/sabledb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 779811016 -> 779811016 -> 779811016 -> 779811016 -> 779811016 -> 779811016 -> 779811016,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
slatedb,SlateDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,777912773,slatedb/slatedb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 777912773,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID,1,,,,False
